cv_id,tier,template,domain,model,model_name,extraction,pydantic_valid,error,time_s,extraction_time_s,total_pipeline_time_s,extracted_chars,full_name,email,location,seniority_level,primary_domain,years_of_experience,has_github,has_linkedin,skills_exact_f1,skills_partial_f1,skills_combined_f1,skills_mrr,experience_companies_f1,experience_titles_f1,education_institutions_f1,education_degrees_f1
2175,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.4,120.5,2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2391,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.27,120.37,1792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.04,0.29,120.33,2095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.27,120.36,1890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.29,120.39,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.02,0.41,120.43,1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.26,120.36,1724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1479,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.39,120.49,2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.4,120.5,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.03,0.34,120.37,1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.07,0.34,120.41,1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.08,0.4,120.48,1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.45,120.54,1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2319,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.34,120.44,1669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.27,120.37,1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.35,120.45,1487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.08,0.35,120.43,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.32,120.42,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.24,120.33,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.32,120.41,2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.08,0.49,120.57,2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.27,120.36,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.04,0.53,120.57,2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.03,0.31,120.34,1167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.09,0.33,120.42,2289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.34,120.44,1420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.37,120.47,1310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.03,0.48,120.51,2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.07,0.34,120.41,1760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.01,0.26,120.27,1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,T1,T1_academic,general_it,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.39,120.49,2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,T1,T1_academic,general_it,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.06,0.39,120.45,1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,T1,T1_academic,mobile,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.05,0.27,120.32,2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,T1,T1_academic,mobile,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf4llm,0.0,OllamaError: timed out,120.1,0.3,120.4,2616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
