cv_id,tier,template,domain,model,model_name,extraction,pydantic_valid,error,time_s,extraction_time_s,total_pipeline_time_s,extracted_chars,full_name,email,location,seniority_level,primary_domain,years_of_experience,has_github,has_linkedin,skills_exact_f1,skills_partial_f1,skills_combined_f1,skills_mrr,experience_companies_f1,experience_titles_f1,education_institutions_f1,education_degrees_f1
2175,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.44,0.01,1.45,2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2391,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.84,0.01,1.85,1686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,5.43,0.01,5.44,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.381,0.381,0.2,0.0,0.0,0.0,0.0
2409,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,8.42,0.01,8.43,1786,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.902,0.902,0.902,1.0,0.0,0.0,0.0,0.0
369,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.83,0.01,1.84,2082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,T1,T1_academic,backend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.46,0.01,1.47,1677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,2.42,0.01,2.43,1631,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0
1479,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.71,0.01,1.72,2655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.53,0.01,1.54,1740,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,T1,T1_academic,cybersecurity,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,8.27,0.01,8.28,1229,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.947,0.947,0.947,0.143,0.0,0.0,1.0,0.0
2091,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,2.67,0.02,2.69,1688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,7.45,0.01,7.46,1155,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.933,0.933,0.933,1.0,0.0,0.0,0.667,0.667
9,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,6.69,0.07,6.76,1552,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2319,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,2.16,0.02,2.18,1531,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
339,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.38,0.01,1.39,1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,T1,T1_academic,data_science,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.45,0.01,1.46,1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,2.25,0.01,2.26,1695,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1641,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.29,0.01,1.3,1787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,T1,T1_academic,design,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,4.18,0.01,4.19,1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741,0.741,0.741,1.0,0.0,0.0,0.0,0.0
3,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.62,0.01,1.63,2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,6.44,0.01,6.45,2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552,0.552,0.552,1.0,0.0,0.0,0.0,0.0
1389,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,8.67,0.01,8.68,1863,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.667,1.0,0.0,0.0,1.0,0.0
579,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.39,0.01,1.4,2387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,T1,T1_academic,devops,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,5.7,0.01,5.71,1047,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.792,0.792,0.792,1.0,0.0,0.0,0.0,0.0
15,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,2.82,0.01,2.83,2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.588,0.588,0.588,1.0,0.0,0.0,0.0,0.0
171,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,5.9,0.01,5.91,1282,0.0,1.0,0.0,0.0,0.0,0.976,1.0,1.0,0.8,0.8,0.8,1.0,0.0,0.0,0.0,0.0
1869,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,5.85,0.01,5.86,1183,0.0,1.0,0.0,0.0,0.0,0.958,1.0,0.0,0.85,0.85,0.85,0.5,0.0,0.0,0.0,0.0
1245,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,1.42,0.01,1.43,2664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,4.24,0.01,4.25,1626,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0
2187,T1,T1_academic,frontend,phase1_gemma3_1b_monolithic,gemma3:1b,pymupdf_raw,1.0,,11.23,0.01,11.24,1740,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.898,0.898,0.898,0.5,0.0,0.0,0.0,0.0
